"Company Name","Tradestyle","D-U-N-S® Number","Address Line 1","Address Line 2","Address Line 3","City","State Or Province","Postal Code","Country/Region","Phone","Company Email","Fax","URL","Sales (USD)","Pre Tax Profit (USD)","Assets (USD)","Liabilities (USD)","Employees (Single Site)","Employees (Total)","Business Description","Ownership Type","D&B Legal Status Type","Entity Type","Is Headquarters","Ticker","Parent Company","Parent Country/Region","Global Ultimate Company","Global Ultimate Country/Region","D&B Hoovers Industry","US 8-Digit SIC Code","US 8-Digit SIC Description","US SIC 1987 Code","US SIC 1987 Description","NAICS 2022 Code","NAICS 2022 Description","UK SIC 2007 Code","UK SIC 2007 Description","ISIC Rev 4 Code","ISIC Rev 4 Description","NACE Rev 2 Code","NACE Rev 2 Description","ANZSIC 2006 Code","ANZSIC 2006 Description","TPS Flag","Key ID","Source","Direct Marketing Status"
"Target Corporation","Target, Expect More. Pay Less., Bullseye Design","006961700","1000 Nicollet Mall","","","Minneapolis","Minnesota","55403-2542","United States","1-612-304-6073","","","http://www.target.com","1.06566E11","5.261E9","5.7769E10","","200","440000","Target Corp (Target) is a retailer of general merchandise and food products. The company’s product portfolio comprises baby and beauty products, clothing, electronic equipment, furniture, grocery, home and pet products, school and office supplies, shoes, sports and outdoor products, toys, and sports equipment.Target also offers optical, clinics and other amenities, home delivery, photo printing service, rewards, and gift card services. The company leases certain retail stores, warehouses, office space, distribution centers, land, and equipment. Target markets products under owned brands and exclusive brands. It operates stores under Target, Expect More. Pay Less., and Bullseye Design banners. Target is headquartered in Minneapolis, Minnesota, the US.The company reported revenues of (US Dollars) US$109,120 million for the fiscal year ended January 2023 (FY2023), an increase of 2.9% over FY2022. In FY2023, the company’s operating margin was 3.5%, compared to an operating margin of 8.8% in FY2022. In FY2023, the company recorded a net margin of 2.5%, compared to a net margin of 6.6% in FY2022.","Public","Corporation","Parent","true","TGT","Target Corporation","United States","Target Corporation","United States","Department Stores","53110000","Department stores","5311","Department Stores","455110","Department Stores","4719","Other retail sale in non-specialised stores","4719","Other retail sale in non-specialized stores","4719","Other retail sale in non-specialised stores","4260","Department Stores","false","8764","D&B","Has Not Opted Out of Direct Marketing"
"UnitedHealth Group Incorporated","UnitedHealth Group, Optum, UnitedHealthcare","112871561","1 Health Dr","","","Eden Prairie","Minnesota","55344-2955","United States","1-800-328-5979","","","http://www.unitedhealthgroup.com","4.00278E11","2.0071E10","2.98278E11","","2334","400000","UnitedHealth Group Inc (UnitedHealth Group) is a diversified health care company. It offers health care services and products through two distinct platforms, namely UnitedHealthcare and Optum. Its UnitedHealthcare platform provides health care coverage and benefit services and Optum platform offers information and technology-enabled health services. The company provides health coverage, medicare plans, short-term health insurance and medicaid plans for individuals and families; health management and global health solutions for employers; health care network, value-based care; and clinician resources for physicians and health care professionals; and resources for brokers and consultants. The company offers its solutions and services to its members in the US and other countries. UnitedHealth Group is headquartered in Minnetonka, Minnesota, the US.The company reported premiums of US$257,157 million, for the fiscal year ended December 2022 (FY2022), an increase of 13.7% over that in FY2021.The company reported revenues of (US Dollars) US$324,162 million for the fiscal year ended December 2022 (FY2022), an increase of 12.7% over FY2021. In FY2022, the company’s operating margin was 8.8%, compared to an operating margin of 8.3% in FY2021. In FY2022, the company recorded a net margin of 6.2%, compared to a net margin of 6% in FY2021. The company reported revenues of US$91,931 million for the first quarter ended March 2023, an increase of 11% over the previous quarter.","Public","Corporation","Parent","true","UNH","UnitedHealth Group Incorporated","United States","UnitedHealth Group Incorporated","United States","Life and Health Insurance","63240000","Hospital and medical service plans","6324","Hospital and Medical Service Plans","524114","Direct Health and Medical Insurance Carriers","6512","Non-life insurance","6512","Non-life insurance","6512","Non-life insurance","6321","Health Insurance","false","29347","D&B","Has Not Opted Out of Direct Marketing"
"Carlson Holdings, Inc.","Carlson","602513673","701 Carlson Pkwy Ste 1200","","","Minnetonka","Minnesota","55305-5244","United States","1-763-212-5000","","","http://www.carlson.com","4.5604443E8","","","","3118","191838","Carlson Holdings, Inc. is primarily engaged in furnishing travel information and acting as agents in arranging tours, transportation, rental of cars, and lodging for travelers.","Private","Corporation","Parent","true","","Carlson Holdings, Inc.","United States","Carlson Holdings, Inc.","United States","Travel and Reservation Services","47240000","Travel agencies","4724","Travel Agencies","561510","Travel Agencies","7911","Travel agency activities","7911","Travel agency activities","7911","Travel agency activities","7220","Travel Agency and Tour Arrangement Services","false","194134696","D&B","Has Not Opted Out of Direct Marketing"
"Cargill, Incorporated","Cargill","006249189","15407 Mcginty Rd W","","","Wayzata","Minnesota","55391-2399","United States","1-800-227-4455","","","http://www.cargill.com","1.59586E11","","8.4144E10","","2000","155000","Cargill Inc (Cargill) is a provider of products and services in the food, financial products, agricultural, industrial and risk management fields. It carries out marketing, processing, and distribution of salt, cotton, sugar, grains, oilseeds, meat and other food products; and petroleum trading; financial trading; futures brokering; and feed and fertilizer production activities. The company also provides technological support, risk management and marketing services. Cargill markets its products under the Nutrena, Provimi, Cargill, EWOS, Sun Valley and Purina brands. It has operations in the Asia Pacific, Americas, Europe, the Middle East and Africa. Cargill is headquartered in Minneapolis, Minnesota, the US.","Private","Corporation","Parent","true","","Cargill, Incorporated","United States","Cargill, Incorporated","United States","Grocery Wholesale","51530000","Grain and field beans","5153","Grain and Field Beans","424510","Grain and Field Bean Merchant Wholesalers","4621","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","4620","Wholesale of agricultural raw materials and live animals","4621","Wholesale of grain, unmanufactured tobacco, seeds and animal feeds","3312","Cereal Grain Wholesaling","false","245718","D&B","Opts Out of Direct Marketing"
"Best Buy Co., Inc.","Best Buy, Best Buy Ads, Best Buy Essentials, Best Buy Health, Other Styles - See Operations","023058159","7601 Penn Ave S","","","Richfield","Minnesota","55423-3683","United States","1-612-291-1000","","","http://www.bestbuy.com","4.1528E10","1.295E9","1.4782E10","","3150","85000","Best Buy Co Inc (Best Buy) is retailer of consumer electronics.   The company offers various products including appliances, audio, video games, TV and home theatre, computers and tablets, cell phones, wearable technology, movies and music, home, garage and office, smart home, security and WiFi, drones, toys and collectibles and cameras and camcorders. BestBuy offers various services including appliance services, installation, setup and repair and support services.   As of February 2022, Best Buy operates through a network of 1,144 stores. The company’s major suppliers include Apple, Samsung, Sony, Hewlett-Packard, and LG Electronics.","Public","Corporation","Parent","true","BBY","Best Buy Co., Inc.","United States","Best Buy Co., Inc.","United States","Electronics and Appliances Stores","57220200","Electric household appliances","5722","Household Appliance Stores","449210","Electronics and Appliance Retailers","4754","Retail sale of electrical household appliances in specialised stores","4759","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","4754","Retail sale of electrical household appliances in specialised stores","4221","Electrical, Electronic and Gas Appliance Retailing","false","3875","D&B","Has Not Opted Out of Direct Marketing"
"Mayo Clinic","MAYO CLINIC","006471700","200 1St St Sw","","","Rochester","Minnesota","55905-0002","United States","1-507-266-6286","","","http://www.mayoclinic.org","1.6303032E10","","","","20151","82000","Establishments of licensed practitioners having the degree of M.D. and engaged in the practice of general or specialized medicine and surgery. Establishments operating as clinics of physicians are included in this industry.","Private","Corporation","Parent","true","","Mayo Clinic","United States","Mayo Clinic","United States","Physicians and Health Practitioners","80110200","Medical centers","8011","Offices and Clinics of Doctors of Medicine","621112","Offices of Physicians, Mental Health Specialists","8621","General medical practice activities","8620","Medical and dental practice activities","8621","General medical practice activities","8511","General Practice Medical Services","false","100956385","D&B","Opts Out of Direct Marketing"
"U.S. Bancorp","","006213482","800 Nicollet Mall Ste 1500","","","Minneapolis","Minnesota","55402-7014","United States","1-651-466-3000","","","http://www.usbank.com","4.2712E10","7.909E9","6.78318E11","","400","70263","U.S. Bancorp (USB) is a diversified financial services company that offers retail and commercial banking, private banking, and wealth management solutions through its subsidiaries. Its portfolio of products and services comprises savings and checking accounts, certificate of deposits, consumer and business loans, personal and business lines of credit, mortgages, insurance, savings and investment products, brokerage and fund services, credit and debit cards, asset and wealth management, and financial planning solutions. The company also provides leasing, international banking, payment services, private banking, cash management, and online and mobile banking. It primarily operates in the Midwest and West regions of the US. U.S. Bancorp is headquartered in Minneapolis, Minnesota, the US.The bank reported interest income of (US Dollars) US$13,487 million for the fiscal year ended December 2021 (FY2021), a decrease of 9.1% over FY2020. In FY2021, the bank’s operating margin was 44.7%, compared to an operating margin of 26.1% in FY2020. In FY2021, the bank recorded a net margin of 33.6%, compared to a net margin of 19.6% in FY2020. The bank reported interest income of US$4,728 million for the third quarter ended September 2022, an increase of 23.6% over the previous quarter.","Public","Corporation","Parent","true","USB","U.S. Bancorp","United States","U.S. Bancorp","United States","Banking","60210000","National commercial banks","6021","National Commercial Banks","522110","Commercial Banking","64191","Banks","6419","Other monetary intermediation","6419","Other monetary intermediation","6221","Banking","false","12128","D&B","Has Not Opted Out of Direct Marketing"
"3M Company","3M","006173082","3M Center","","","Saint Paul","Minnesota","55144-1000","United States","1-651-733-1110","","","http://3m.com","3.2681E10","4.819E9","5.058E10","","2252","61500","3M Co (3M) is a manufacturer and distributor of industrial products and solutions. The company’s portfolio of products includes advanced materials, display materials and systems, home care, home improvement, stationery and office, personal safety, roofing granules, closure and masking systems and others. 3M also offers various solutions such as medical, oral care, consumer health care, food safety and health information systems. It serves customers in various industries such as automotive, electronics, health care, safety, energy and consumer. The company has converting and manufacturing facilities in the Americas, Asia Pacific, Europe, the Middle East and Africa. 3M is headquartered in St. Paul, Minnesota, the US.The company reported revenues of (US Dollars) US$34,229 million for the fiscal year ended December 2022 (FY2022), a decrease of 3.2% over FY2021. In FY2022, the company’s operating margin was 19.1%, compared to an operating margin of 20.8% in FY2021. In FY2022, the company recorded a net margin of 16.9%, compared to a net margin of 16.7% in FY2021.","Public","Corporation","Parent","true","MMM","3M Company","United States","3M Company","United States","Medical Equipment and Supplies","38410000","Surgical and medical instruments","3841","Surgical and Medical Instruments and Apparatus","339112","Surgical and Medical Instrument Manufacturing","3250","Manufacture of medical and dental instruments and supplies","3250","Manufacture of medical and dental instruments and supplies","3250","Manufacture of medical and dental instruments and supplies","2412","Medical and Surgical Equipment Manufacturing","false","19404","D&B","Has Not Opted Out of Direct Marketing"
"Ecolab Inc.","Ecolab, Nalco, 3D TRASAR","006154611","1 Ecolab Pl","","","Saint Paul","Minnesota","55102-2739","United States","1-800-232-6522","","","http://www.ecolab.com","1.57414E10","2.5712E9","2.2387801E10","","1400","48000","Ecolab Inc (Ecolab) provides water, hygiene and energy technologies and services. It offers solutions and services such as cleaning and sanitizing programs and products, pest elimination services, and equipment maintenance and repair services. The company caters its products to foodservice, food and beverage processing, government and education, hospitality, healthcare, retail, textile care, and commercial facilities management sectors. Ecolab’s chemicals and technologies find application in water treatment, pollution control, energy conservation, oil production and refining, steelmaking, papermaking, mining, and other industrial processes. The company along with its subsidiaries operates across the Asia Pacific, Europe, the Americas, Middle East, and Africa. Ecolab is headquartered at St. Paul, Minnesota the US.The company reported revenues of (US Dollars) US$14,187.8 million for the fiscal year ended December 2022 (FY2022), an increase of 11.4% over FY2021. In FY2022, the company’s operating margin was 11.4%, compared to an operating margin of 12% in FY2021. In FY2022, the company recorded a net margin of 7.7%, compared to a net margin of 8.9% in FY2021. The company reported revenues of US$3,571.6 million for the first quarter ended March 2023, a decrease of 2.7% over the previous quarter.","Public","Corporation","Parent","true","ECL","Ecolab Inc.","United States","Ecolab Inc.","United States","Miscellaneous Chemical Manufacturing","28410000","Soap and other detergents","2841","Soap and Other Detergents, Except Specialty Cleaners","325611","Soap and Other Detergent Manufacturing","20411","Manufacture of soap and detergents","2023","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","2041","Manufacture of soap and detergents, cleaning and polishing preparations","1851","Cleaning Compound Manufacturing","false","9848","D&B","Has Not Opted Out of Direct Marketing"
"Life Time Group Holdings, Inc.","Life Time","079881824","2902 Corporate Pl","","","Chanhassen","Minnesota","55317-4560","United States","1-952-947-0000","","","http://my.lifetime.life","2.6209951E9","2.08768E8","7.1525371E9","","19469","42000","Life Time Group Holdings, Inc. is a sports and recreation club which restricts its use to members and their guests, such as a country, golf, tennis, yacht, and amateur sports and recreation club.","Public","Corporation","Parent","true","LTH","Life Time Group Holdings, Inc.","United States","Life Time Group Holdings, Inc.","United States","Miscellaneous Amusement and Recreation","79970000","Membership sports and recreation clubs","7997","Membership Sports and Recreation Clubs","713940","Fitness and Recreational Sports Centers","9312","Activities of sport clubs","9312","Activities of sports clubs","9312","Activities of sport clubs","9112","Sports and Physical Recreation Clubs and Sports Professionals","false","194170669","D&B","Has Not Opted Out of Direct Marketing"
